text,label
@bgitukh @Kmrzee nama km sp si?? ak blm tw cb spill nama km alamat km nomer hp km smw nya spill,0
spill dong mukanya @nlllynelly yg ga disensor,1
@sosmedkeras Spill muka hakimnya ga sih biar tau orangnya,1
SPILL FOTONYA!,0
kalau aku spill foto posko kkn ku itu kalian gak akan napsu mam deh wkwk,0
@tissuebekass yaudah spill alamat tempat tinggalny aja disemarang,1
@tubirfess ni cowo otaknya ky kontol dah spill mukanya kok malah muka cewenya si,1
@yoonchafe Sini kak ke wa yaaa aku spill d wa,0
@MINJIxWAT Jangan lupa sebarin ke grup WA kamu - S020,0
@tanyarlfes Spill ig atau muka cowokmu dong nder... #GREGET,1
@manyuunnnnn Spill muka full kakak wkwkw,0
@wunyongie Spill foto emesmu dik,0
@renekiyo Spill dong kak muka si perisak perisak itu,1
@sherenballe @afrkml @tubirfess Bpknya atau tsk masih buron foto anaknya dulu lah yg di sebar gara2 anaknya kan,1
@yingfn_ Spill nomernya dong kaa hehe,0
Aaaaaaaa akhirnya kei spill juga. Yuk up fotonya yuk ,0
@tanyarlfes Spill muka suaminya,1
@tanyarlfes nder spill rumah ak mw dtg,0
@BaemSuzy @kimyungssoo @UvinYuwen Spill potonya,0
@mfs_ub Spill fotonya sekalian,0
Apa apaan nih kok foto cowo gue main disebar sebar?,0
@rose_are_rowsis spill nomornya mau silahturahmi,1
@Greschinov Sebarin aja no wa mossad biar hp nya error,1
@PolJokesID spill rumah nya min,1
@Debby_Serang Wa yu,0
@kegblgnunfaedh Spill foto ceweknya biar dirujak,1
@AmeliaRahmaaaaa @rull_sss Spill nomernya pengen ngata2in pake sumpah serapah dan lain2nya,1
@bbwangtan KU KIRA MW SPILL TL (salah baca),0
@danielkahg Spill nama dan mukanya,1
Spill muka lah,1
@kegblgnunfaedh Foto pembully nya juga di spill lah anj,1
@heedyb7 prlu ak spill ktp kh?,0
@flowers_gurl Baru aja si spill di wa,0
@tanyakanrl Spill muka yang gak nolongin anj pen bat tolol2in,1
Mana no wa nya biar tak serang,1
@meinpaw HAHAHAHAH LUTJU ayokayok spill nomornya biar jdi bnrn ,1
Kenapa kalo ada kasus perselingkuhan yang di spill tuh cuma muka si cewe alias selingkuhannya ya? Pokoknya pasti si cewe dulu kenapa ga sekalian spill muka cowoknya? Aneh,1
@tanyarlfes Spill nomor lah minimal Biar bisa silahturahmi,1
@yayyaptr Langsung spill aja di twitter kak nomor hp sama twitternya,1
eh spill muka selingkuhannya dong,1
@nasaberbagi @hikennnnoace yang ilegal bisa sebar data kesemua kontak ngga kak?,0
KPU Kota Serang Temukan 500 Data Pemilih Ganda https://t.co/1nc5aQG6tY,0
@Aku_Nopall Spill nomor vang siapa tau viral,0
@ryhs057 @tanyarlfes spill alamat,0
@berryloveyu spill nomornya kak biar bisa aku blok ,1
Kesian amat Coba mana foto cewek nya spill,1
spill foto work outnya dong ganteng ,0
Foto kapan ini baru ke spill,0
@tanyakanrl spill muka cwoknya dong,1
@UGM_FESS Sebar nomernya dgn kontak SEDOT TINJA,1
@tanyakanrl Spill nomornya anjir biar diteror netijen. Geram gue,1
ini apa gamau di spill fotonya??? ,1
@tanyakanrl Sekolah mana nih spill aja sekalian sama nama dan foto gurunya,1
Aaaa Mau liat fotonya ayo dong spill,0
@26_61_04 Spill nomer hpnya mba,0
@meymryym spill mukanya biar enak digebukin,1
@SammiSoh Tandai mukanya bully semua anggota keluarganya jika ada yg kenal Spill ke netijen semua sosmednya,1
@lunemfs spill foto terbaikmu hari ini,0
@IVE_twt spill foto yg lainnya dong kak,0
@fluffycchoco kayaknya ka... sini wa dia kak spill ajaa,1
@15O81 @convomf Spill kakk ada fotonya ngga? ,0
Belum ada yg spill foto di alam barzah,0
@dumpsoy @watanababbes @mkidiu @steIlajeruk @kemunanyea @tertykan @ilsazz dek liat tmen lu. masa foto titid lu di sebar,0
@gamafora kak spill nomernyaa,1
Sebarin muka aslinya biar kena sanksi sosial bagi nomernya sini,1
nder spill nomornya sini biar gue kontol²in nih laki insecure-an najis,1
@_empathy9 iya dongg buat gue cosplay ntar tuh. Ditunggu yh ntar gue spill fotonya ,0
@aislynic JIR WKWKKW. Spill lu mokel pake apaan Nik. (Ngiler),0
@olafaa_ SPILL MUKA NYA SIH,1
@convomfs Sebarin nomornya nder,1
@destiaaninda Spill nomor di sini kkak biar kita serbu,1
@grizlyseo ntar kalo anaknya dah sampe rumah gue di spill,0
@angewwie hrs nya km spill sekalian mukanya biar viral kak,1
@sayhi_fk @worksfess spill nomornya gak sih? ,1
kalian di rumah punya berapa kcg! ?? spill dongg mo liaatt https://t.co/r9BjpSvHA0,0
@wa_rmhearted Spill no. WAnya lah gw mau silaturahmi nih mumpung belom puasa,1
@karasumno Padahal nggak spill muka pacar kok situ kegeeran? ,0
Lahh kok kenapa my friend. Rumah udah misah juga kan serang dari mertua,0
@AREAJULID Spill foto lakiknya biar viral dapet sanksi sosial,1
Bae bae dah lu ntar gw spill muka lu kelar hidup lu..,0
@tanyakanrl SPILL MUKA YG BULLY BIAR DIHAJAR NETIJEN RAME2,1
spill berkas uny dongg harus foto rapot ga,0
Sebar aja ges fotonya,1
@haslingingslic spill NIK nya dong,1
@milimeterr_ ayoo spill nomor pln,0
@strauwror Mana? Mukanya ke spill?,0
Spill foto Pemain Munyuk aja deh elu,0
Dulu waktu dvalin keracunan harusnya jangan nyerang mondo tapi serang rumah elon aja,0
SPILL MUKA BELLYAAAAAA,0
@casysea Iyaa kah? Mbk yanti liatin mukanya? Spill dong,1
gamau spill foto kegiatan nya. krna private aja si xixi,0
@jemimazah spill fotonya dlu baru gua berkomentar,0
@18fesss Spill muka orangnya kita pukul sama sama,1
@ganeeeng spill dong yang begitu mukanya kek mana sih,1
@Bhaktisetya Hohoho blm di spill potonya,0
-bllk CW // warning spoiler Spill karakter yang paling nomor 1 di hati kamu. I'll go first https://t.co/O2pFDAilUl,0
@xvismys bisa2 nya awas u w sebar foto u,0
Jangan lupa ya joss spill foto kalian! https://t.co/BXq6rychvZ,0
@gyulldaengie_ Coba spill KTP nya,1
@owhsehun2 spill no nya wa ak teror km,1
Udah gila anjir dunia makin ga mau sebar foto gw,0
@convomfs minimal spill mukanya si,1
MAH????? KNP SPILL FOTO AK LG MEGANG TITIW PAKDE,0
@asaabeloved maaf jgn sebar muka gue dong.,0
@nadheyanta Spill di wa,0
@darkside_day spill muka jablay nya yang ga seberapa itu,1
@ilshediw_ Mana dong spill muka cantikmu itu.,0
@dhemit_is_back @sosoo9z Min spill foto keluarga nita,1
@Txtdariiugm @outlier__twt @UGM_FESS Spill wajahnya dong min biar was2 klo g sengaja ketemu.. barusan mampir ig nya ngga ada samsek foto yg nunjukin wajah :),1
Spill mukanya dong.. Ane penasaran mau liatitu seniornya?,1
gpp di larang spill foto tu cewe yg penting apaa yaa,0
@renetings spill alamat ak mau curi,1
Spill muka suaminya aja kk,1
@erideulfess Harusss spill foto sih ini,0
@tanyarlfes Spill muka yg videoin dong plss gasabar pen hujat,1
@convomf coba spill muka lu pengen bgt gw ludahinn,1
@dominicuzs spill fotonya,0
Bjir rumah yedam di spill,0
@atharisjad Maaf ya belum bisa di spill muka mantannya.,0
@vkookfess supirr kapal mohon di spill potonya ,1
@namirase Gw spill muka lu ya!!!,0
p ganteng spill fotonya dung https://t.co/lFQhZLOKKY,0
@maspimen foto mukanya dg jelas sebar identitasnya,1
Weh gila serang kat muka,0
@18fesss Pengen liat bentukan orang yang kek gitu wkwkwk spill muka nya dong,1
@tanyakanrl spill nomernya biar di rujak anak twitter,1
Kak Doyoung kalau mau spill dikit foto mu yang di Maldives saya siap kak ,0
mana ini fotonya kok gak di spill,0
@REI04GG Berapah nomor km? Spill,0
@tanyarlfes spill nomor nya sini mau silaturahmi gue sama anak yg begitu,1
oh mara mara soalnya fans yg sebar foto pretends to be korean by using hangul???,0
kak plissss spill nanti foto nya huehue https://t.co/zZF4sfahhq,0
AAAAA DOYOUNG AYO SPILL FOTO FOTO KALIAN https://t.co/vkvh2p1KtZ,0
@taekooknakha Kapan-kapan spill rumah kalian yg di hawaii yaa Pak Kim..,0
@starfess Ini kalo nomernya ke spill udah habis dihujat dan diterror ,0
sumpah sampe di spill dong nomornya,0
@detikcom Spill muka ortunya kok bisa otaknya gk dipake,1
@tanyakanrl spill nomornya kita teror sama sama,1
@strawsberriest Spill alamat aja kak soalnya pengen aku pukulin,1
@tanyarlfes spill nomernya aj nder biar netijen serang wkakak,1
mau ngeshare ini tapi gamau spill muka photoframe gemoy by @PeachisGrey https://t.co/WJYsBN460g,0
@gunnehildr STOPPP GW HABIS SELF DOXX RUMAH LAMA GW,0
@Umron09950519 Sini spill nomornya biar diajarin tatakrama,1
Semoga ada spill vidio atau foto kek gini lagi. Bikin seger soalnya https://t.co/4nN1qoFwau,0
@hayotng AYO SEBARIN KE GRUP WA KELUARGAMU NTU &gt;_____&lt;,0
@ttaejuss Haloo maaf tolong delete twtnya yaa kibum minta jgn sebar fotonya + taem kan blm discharge takut kenapa2 makasih ,0
spill fotonya dong sa https://t.co/NoeAoTr4Yi,0
@americanojeys Spill aja nomor nya atau Ig nya deh.,1
gada yg mau spill foto apahhh,0
@seokbinen spill muka km yg cantik itu felis,0
@spilledesteh udah + spill muka the sims dong,0
Ada yang aneh dengan foto di bawah ini! Adakah yang aneh sama posisi fotonya? Mau di spill? Mari kita tag dulu wahay mas regan @jiratchapong_ https://t.co/M3PKfeqOqF,0
Spill no hp nya https://t.co/Jf2t62hNLI,1
@uusseerr109 spill kak mukanya,1
@yoongeism Jangan lupa spill muka anaknya pak !,1
@flywithasoka @Askrlfess spill muka nya beri dia sanksi sosial,1
@marsyashh_ spill alamat,0
@EtherealVenice spill poto cantikmu,0
@hesti_rya plisss spill dong gw pengen punya rumah diumur under 30,0
@karinpaww ad yg tbtb ngechtin di 2 wa ku pdhl ak gprnh sebar nmr ad jg yg ngaku2 di chtin cowoku pdhl cowoku gaada cht siapa2 gatau dh,0
@haihovvru SPILL RUMAH LONTE ITU SKRNG ARRGGHHHHHHKUBAKAR KAU HIDUP ,1
@joeriff07 @mocicobek Ntar sy spill foto nya,0
Ngapain di sensor sih? Lo aja sebar data pribadi orang gak lo sensor,1
@chocrattes norek nya aku spill di wa ya,0
@geuinever siap aku sebarin nomornya ke org fb kak biar di teror wkwk,1
@tanyakanrl Wkwkw dia ngancam motaz mari kita serang diaaa mari kita teror nomornya hahahaa,1
@BreakerSohyun siap mbak spill aja nomor wasapnya ya mbak,1
@_dxta Spill dong muka suaminya Pengen liat muka2 tukang selingkuh kaya apa,1
@18fesss spill nomornya sini,1
@tanyarlfes Spill sosmed. Kalo ada no hpnya sekalian,1
ORDER WA: 0812-7571-3754 Agen Flimty Fiber Cilegon Serang Supplemen untuk detox dan meningkatkan sistem daya tubuh.,0
@gongju_na spill foto dongg mau liatt,0
@Madariyanhadi Spill mas mada sekalian yang Status WA ,1
Spill muka cowoknya,1
@Beasxxx11 Apa kita aja yg spill di ig dan wa? @oatmilkherfav0r @mrrnd_zz @clariitaa0,0
@AndyHuskyyy Spill fotonya nder,0
@wa_rmhearted Mukanya spill aja,1
pengen spill tapi ini acc yg ga spill muka asli wkwkwkwkwk,0
@newwmewin77 ayo spill muka km dong wkwk berani ga,0
@rrrrrruto @infoXwor_ Udah doxxing salah alamat lagi,0
@prekserr Wahhh no ini keknya udh ada yg pernah spill dehhh,0
Pasti abis ini fyp w foto si babeh semuaa yang abis di spill di grup,0
@couldntfoundza kalo spill dari wa aja giman?,0
@tanyakanrl spill nomor WA nya mau silaturahmi,1
@ptrckstrsss Spill muka anak kontol,1
akan kupantau dengan seksama sampe di spill alamatnya!!!,1
@alinamita Yaudah kalo gitu sekalian spill mukanya kak wkwk,1
@Greschinov Ad gak no wa nya biar kita serang,1
eh spill orang orangnya mukanya kaya apa,1
@1997gkw mukanya dah di spill ya,0
@FessPonti cb spill muka e kak biar para cewe hati hati kak wkwk,1
@della_adelll GMN PLIS SPILL AKU GA DPT BENE FOTO SOALNYA,0
Tolong jangan sebar foto ndun aku capek dia dijahatin terus. Plis hapus kalo kalian emang udah liat gausah tweet tweet lg. Aku tau kalian seneng. Tapi tolong aku gamau ndun dijahatin lagi,0
@MyBestThingsZN Gimana ya Komen aja bisa kena serang apalagi foto ,0
kalau kena hit n run gitu harus di spill ga sih nomor wa nya dia?,0
orang gila. tapi coba spill alamatnya nder mau maen,1
@shochei spill aja deh nomernya sama nomer dananya biar kapok.,1
@Ru2895 Jadi gatel mau spill fotonya ke mbah ,0
@cgrtsxwonie benerann? video atau foto ajaa? gw udh ke spill foto,0
@pittaxxi @whoalaaa Mjb spill dong K' foto yg mana..,0
@Heraloebss Spill alamat jadiin pembuangan sampah.,1
@blacpks Spill foto aslinya min,1
@snowjaeday6 Spill aja muka sosmed bahkan alamatnya. Biar kena sanksi sosial semua,1
gue tunggu ampe ke spill mukanya,1
@tanyakanrl Spill id dia dong...kalo perlu alamat nya juga,1
spill muka ig yg nendang plisss ,1
@stoargazing spill muka sakau nya dekk,0
 pas gue liat profil nya si pras ini yang pernah punya masalah di twiter ya yang pernah di spill mukanya ?lo salah pras gblk sejak kapan muka gue di supal spill tolol!!abis itu gue di kick sama orang yang so tau dan so cantik itu cuih padahal kenal juga kaga gua,0
@jawncuok @convomf spill nomornya kaa,1
@FerdinandHutah5 Spill tipis tipis bang Ferdinand... Biar tahu rasa dan tahu muka mereka bang. *Penjilat tak bermoral,1
@baxcott jangan sebar muka rl pliss,0
@convomf sebar aja nomornya ka,1
 54. Spill foto terbaik muse mu min 5 foto.,0
@tanyakanrl Spill kali muka nya seganteng apa dia,1
Nadine kata gua lu aja deh yg spill foto kapal yg ini capek nungguin dari kemarin,0
Spill yang kantornya ga pake wa plis ,0
@sqymphony Spill foto nya,0
@AREAJULID gak ada yg spill muka yg rekam?,1
harusnya spill wa no dia dl biar kt labrak rame rame ,1
@tanyarlfes spill sendernya pingin gue ludahin mukanya,1
Kaka pls spill nomor wa x... Kita lanjut pc aja https://t.co/wmAy1BhFRi,0
@enginafess spill dapet poto ini dari mana nderr,0
@jejarieee tapi mukanya km spill mbak,0
@gglowbugg kak spill muka pelakor ituu dia harus nerima karma,1
@kegblgnunfaedh Spill aja lah muka cewek nya kek mana? Sekalian medsos nya,1
Padahal so far mereka blm pernah kena yg kek gtu gasi sumpah ngeselin. Bocorin aja nomornya ci biar kita spam balik ,1
@tvindonesiawkwk Spill alamat pemilik panti nya dong min... Plis,0
@convomfs Spill ktp biar bnyak yang telp ,1
@tanyakanrl SPILL NO WA NYA SOSMED NYA SEKALIANN,1
@ininathaaan Menunggu foto smp lo ke spill,0
@jogmfs spill akun dan alamat sebagai warga twitter dan warga indonesia kami siap memukul sampai mati,1
@jagoanneyoonnn dikit aja spill dong fotonya,0
@Askrlfess block kalo bisa sih kamu sebarin nomor hpnya sini biar netizen yg bertindak,1
@never_alonely spill nama kades nya mukanya istrinya simpanannya...,1
@sosmedkeras Spill mukanya dong jgn disensor,1
@sbtcon spill kalo perlu alamat dia sekalian biar kapok. kok hak orang ditahan tahan,1
Real name aja udah doxxing sih tau maksudnya ngingetin..tapi rasah mention jeneng ktp lek iso..angel https://t.co/JVIv6pUpeN,0
Tolong spill mukanya dong biar bisa kita cetak taroh dipinggiran jalan WANTED! ,1
kak kapan spill muka adek https://t.co/E3wbbMxDh5,0
Spill foto dong pengen liat hia sama nunu main salju ,0
@oriflake spill muka istri sah nya dong,1
@dvkeof spill foto ktp sama foto diri dengan ktp,1
@tanyarlfes Spill nomornya nder biar gw terror,1
@addinae @sbyfess Pliss ada yg spill muka suami sama pelakornya g?? Gregeten sumpah,1
Baru saja mengirim foto @ Kota Serang https://t.co/0GHp6a9iEU,0
SPILL NOMERNYA. INGIN KUKATAKAN TAIIIIII,1
@Heeyouyaaa keduanya salah spill foto keduanya dong minim akun sosmednya,1
@tanyarlfes gausa diladenin lo jg spill aja lah nomor diaaaaaa,1
@tanyarlfes spill muka mbak nya yang nyuruh mundur mari silahturahmi bersama sama,1
@zhbinng kalo nanti ada yang wa km Jan kaget ya ak abis sebar ke grup wa,0
@ArifArd39477649 @JURAGANLENDIRR Spill mas nama foto akun dll biar kt tandai,1
@doblehpart2 Min minta tolong sebarin fto+nomor mantan gua yg bngsat ni,1
Datang rumah orang tak diundang tak diajak. Tetibe mai datang terus serang masuk rumah. Takda adab ke?,0
@tanyarlfes Spill aja nomer nya nder biar kita spam,1
@txtdrimedia Spill muka pulisiknya plis,1
@ppionily @dacursebreD Buruan spill di wa klo gak spill nanti gachanya bauk,0
@bnglwntr @26_61_04 spill nomor wa aja biar kapok ,1
@panggilsajachae Kak spill no wa nya,1
STOP SERANG GUE DENGAN MUKA GANTENG LU ITUU https://t.co/NiIa0oNtXE,0
spill alamat bro,0
@Exrigi spill nomornya aja kak biar mampus diserbu,1
spill foto iniiii,0
@HagedotID Spill ktp,1
 Jey sekali-kali spill foto lah di twt - Dikasih apa? #tellonym https://t.co/hRKX5dRZeT,0
@reizeiizei Jan lupa kak sebar potonya disini yaa aku mau liat ,0
@lakelightllily aduh bleh deh mom spill nomer wa,0
@pencokatel Tolong spill muka dia kyk gimana ,1
@numblittlebug20 Spill aja muka si ajg,1
@radennisya Mukanya sonny di spill jg ga kak?,0
@seringlelah SPILL NAMA MUKANYA PLIS,1
@_wahego Spill foto before nya dong blaiii ,0
@fort_fts @peatwasu P'Fort gweh tau di hp lu ada beribu ribu vidiony P'Peat jd tolong di spill semua satu persatu jgn pelitt ,0
BUSEEET.... SPILL AJA NOMERNYA BIAR MAMPOOS,1
@savorqy ah masa spill rumah tapi ga diajakin main,0
@tanyakanrl Nitizen tunjukkan aksimu..spill fotonya si cewek dong..,1
@JanissaryD_Last @Dennysiregar7 Sebarin juga dong bang nomer nya,1
@Fandy_Cukong spill foto TKP dong pak fandy ,0
@aendhps19 @kangjaill Spill dong alamatnya...,0
Serang terus mukanya!!,1
@spacespandora @scarlettemagik ude sinting KAK HARUSNYE LO BAYAR PAKE DANA TAU BIAR ALAMATNYA KE SPILL WKWKWKW,0
@zeerogravity_ spill nomornya izin silahturahmi ,1
Kok curiga gue orang orang begitu aslinya jelek ya? Ada yang udah spill mukanya ga sih?,1
@icioca0 Berbagi kebahagaiaan kan. Selagi yg d spill bkn yg privasi bgt. Aku bakal spill . Kata zize hanya gk blh record. Mksdnya jgn sebat video atau foto ss gitu,0
nanti klo ada au gw bisa terbit ku spill muka pas fansign jiakh,0
@existenzme Coba spill muka temannya kk,1
@chaelreaa nanti kita spill saat tatap muka,0
Teman ngewe iya. Spill aja muka si pelakor sama yang si lelaki otak selangkangan itu.,1
aku pernah spill wajahku disini gak sieh.. mau upload foto,0
KYOTO MOOD ayo dong pak spill lebih byk foto doi di japan https://t.co/5INzt4lz8d,0
spill muka dulu met,0
Gw mah ️‍⃠️‍⃠️‍⃠️‍⃠️‍⃠ Udh jelas Pikamee di serang ama SJW pelangi.. Yg awal bully siapa malah bela yg membully. Let's go play Hogwarts legacy https://t.co/hSl4PnleyJ,0
@tanyarlfes Anjir spill lah muka nya,1
@http_Yeager Emang gak pernah sebar wa itu yg wa bukan mutual dari X ,0
p p p spill bisa kali fotonya https://t.co/2Oi06vzk4i,0
@Jogger0895 Spill fotonya dongg,0
@worksfess Coba spill muka org sinting macem niii Sabar yaa mbaakkk,1
@Azisa KITA SERANG RUMAHNYA,0
@OliLondonTV Hei lihat muka mu baru sebar foto orang.,0
@IstriSah9 bu spill dong bu suaminya foto nama alamat biar cewek cewek diluar sana gk jadi korban suamimu wkwk,1
@kegblgnunfaedh Spill betinanya kampungnya plus video mukanya... Biar dibikin edan,1
@hikunmyluv Udh aku spill kok ka di bawah post an yg ad fotonya,0
@ChocoBear3012 spill muka dong kak gedek bgt temen gue discam jauh2,1
Dia ngancem nyebar foto???? Kalo ngancem lagi SPILL aja orgnya kak.,1
Udah di spill rumahnya tinggal cari alamatnya emang susah ya?,1
@Greschinov Spill nomernya Ndan biar sekalian kita nyampah,1
@billjoamx @woohohojjang @ppiyakkk_ @restricteez coba sebar poto asli nya wkwkw,1
pls spill nomer mrka mw aju teror,1
@anphoenix9 Spill foto yg mana yaaa,0
Ladies and gentleman this is jok Spill keranjang kuningnya kak Itu udah ada no wa nya. Belum ada wa kamu nya aja,0
@geloraco kira2 sebelum jatuh tempo bayar cicilan di WA/ telponin mulu g ya sama yg ngasih utang ? klo telat bayar diteror sebar data g ya ?,0
@alvinoputraaaa mukanya ko ga di spill ,1
@verhaint benerr harusnya kaya dong yi fam tuh masih sering spill foto wkwk,0
@convomfs Spill nomornya nder. Pen gw taplok rasanya,1
SPILL FOTONYA,0
@xx01_Oxx @tanyarlfes Kak spill cowo yg ada di foto profil dong. Kok nampak ganteng ini aku lihat2,0
@tanyakanrl Spill muka ibunyaaa,1
Spill lah isi wa nya,0
@saskiantara Sebarin mukanya di grup wassap.,1
@unpadle SPILL CERITANYA LAH MONYET BUKAN FOTO LO NYA,0
@niaapicked kak spill nomor wa nya sekalian,1
@tataiayam @asackrmn @maoddys @monkyluffyi @vinsmoke3G_ bener ya? spill foto ktpnya,1
@seumaychan udah lah may spill aja nomernya biar diteror,1
@baemomot spill nomor telfon biar gua teror,1
@winkooy @K4GUCHA gue ikut nunggu.. ntar spill ya klar fotonya,0
@tanyakanrl Spill nomornya nder kita kasih hukuman,1
@merapi_uncover spill no rekeningnya,0
@txtdrberseragam orang kaya gini tu nomer nya banyak jd kalo bisa SPILL AE MUKA NYA SAMA IG NYA DOSKI ,1
Yang ni serang rumah Anwar yang sebelah sana serang rumah adik beradik Sanusi ,0
@sosoo9z spill nomornya aja biar kerasa stresnya,1
@tanyarlfes Cringe gile giliran ada foto cewe dijadiin bacol ama cowo2 lu koar2 pelecehan ama spall spill,0
@TEHSISRl Caper ke siapa sih? Kok foto kamu kamu sebar di grup? Kok ga ngetag aku? Kok ga cuma buat aku?,0
@YAEMIlKO_ non - oomf tapii setujuu .. t__t kata nya mauu nge spill problematic nya tapi yang di post malah foto - foto ituu ,0
SPILL NOMERNYA BIAR AKU SMEKDON,1
@ggeomsa spill wa pe mau lapor SPT,0
@Southimes Coba lu spill koleksi foto couple lu itu.,0
@tanyakanrl Tolong spill dong mukanya kaya apa ? kalo mukanya kaya musang sama kandang berapa ?,1
@zoelfick Spill IG sama alamat rumahnya gak sih?,1
@THEATERagc war aja ni agc sebar sebar muka rl nya,1
harusnya spill aja mukanya biar kita hujat bersama,1
@takpukul jangan smp ak sebar foto ny,0
@heggykearens SPIL MUKA NYA . SEBARIN MUKANYA .,1
@sbmptnfess Spill nomor wa nya mba kita spam rame-rame ,1
@tanyakanrl Coba spill muka mantanmu nder,1
@JaeN00Na Sedih bgt sebar aja kak mukanya tega bgt ya pdhl sama2 bayar. Gpp kak lebih milih solat diberkahi Allah dibales yg lebih baik nanti,1
@pompomfess nder tolong jangan sebar foto tingting!,0
muka ku ke spill ih anj tp gpp ak mo berbagi,0
@4yoursss @putrimrndd @paansijlk Nah ini pliss spill juga nomor suaminya biar sama sama down kaya si pelakor,1
@tanyarlfes Spill muka suaminya juga..,1
@vvotanet bct luwh spill alamat rumah sender 1745129962053452244,1
@FOODFESS2 Spill muka suaminya,1
KAK? SPILL FOTO YANG LAIN PLS?,0
spill aja nomer dia kak. kok jahat bgt jd manusia,1
@Pai_C1 spill rumahnya mau gue siram aer got,1
jadi keinget sama faker yang gue spill dulu pake wm padahal foto orang ,0
@akunuky Harusnya di spill tanpa nomer ga sih spill aja akun twtnya,0
ORDER WA: 0812-7571-3754 Peramping Perut Flimty Fiber Cilegon Serang Flimty Fiber dikenal sebagai jus Peramping Perut Yang Fenomenal.,0
SPILL MUKANYA RAJAM ONLEN,1
Lah nomernya ke spill,0
@NaughtyRabbith_ Lu jngn spill foto asli njir ,0
@sosmedkeras spill foto selingkuhannya dong,1
alamat rumah gege di mana yah sptinya lbih baik kita serang saja rumahnya,1
@alreadyybr0ken Spill nomor..sekarang,1
@deearvelvet ya ngl gue jd dia marah bgt sih gue udh kasih wm di foto gue trs di apus wm nya di sebar fotonya mana guenta di katain pig jg lg,0
@gibraldine Coba spill muka ngambeknya,0
Spill cowok di foto itu!,0
@tubirfess Spill mukanya dah ntar kalo dia punya istri berani ga ngomong gitu ke istrinya,1
@Askrlfess kenapa di tutup nomornya nder?? SPILL ATUH BIAR BISA GUE AJAK GELUD,1
@sosoo9z spill no wa keluarganya,1
@ngijabule @ksiezyc26 spill foto artianyanya,0
@DrEliDavid @giladerdan1 Oke baik kita spill dan cari nomernya sampai dapet yaaa Gilad Babi,1
@rizsaster @seishirzou @ultdxsh @kenyyoo @inimacaa @prncnp @be9one @athyzren @sequoirouse Spill di wa kah dia,0
@convomf spill nomornya,1
